Label;ELMP;IP;Join;Min_MWP
Average price at node 4900;260,32693358764806;261,5753663536148;261,4204186105715;33,91221851602642
Average price at node 4901;70,5344578887331;70,5082588634549;70,70592437054673;19,16592854134674
Average price at node 4902;71,57238756504232;71,53572417291015;71,75676855184186;34,478232088318514
Average price at node 4905;72,74982766193223;72,72402720460896;72,93816952486819;35,63926685861473
Average price at node 4907;76,5009937224683;76,5307990486786;76,71198976259382;31,479605772989355
Average price at node 4909;82,27453017436886;82,25248319095307;82,43351923233415;31,958440002343153
Average price at node 4911;81,29130650547009;81,39212151010337;81,53123237510151;26,16763681457464
Average price at node 4913;82,54277610400375;82,52552851747919;82,69943203926344;42,73339818850516
Average price at node 4915;78,63291124862727;78,57923014446818;78,82586996219568;33,04692817607924
Average price at node 4917;83,2123324864689;83,1606934855292;83,33926679595099;41,1210342896675
Average price at node 4918;80,36427453153944;80,27396618040625;80,44098610984877;41,563923005752926
Average price at node 4920;80,89242226746616;80,80444543075332;80,96632620797018;41,58795039842235
Average price at node 4923;72,09689829479088;71,84426966680472;71,970043650666;35,87225233326669
Average price at node 4924;75,09681965388872;74,90034941134827;75,03843847057429;37,821726265812764
Average price at node 4925;80,09910075268364;80,0379157799137;80,15443768785399;64,16519078476678
Average price at node 4930;82,5939057876321;82,59326362562344;82,69534478827207;14,904091954430205
Average price at node 4931;82,73028473764428;82,73140826344003;82,83380885173798;28,19711922726366
Average price at node 4932;82,73888082094855;82,74216719570722;82,84311448237969;20,513765290039384
Average price at node 4937;82,87197362317964;82,87561927596748;82,97889895448039;42,99379696799656
Average price at node 4938;83,31545120576637;83,32837152097;83,42659283529038;31,162872307463555
Average price at node 4941;79,62167642504926;79,5950740860628;79,80418909194431;31,645545694860942
Average price at node 4942;84,19035065879616;84,22730960751983;84,21011349819345;67,77617916456977
Average price at node 4944;63,376896321696194;63,537281088358384;63,481737236519216;37,68757278411815
Average price at node 4945;83,84881753184995;83,9141111851362;83,88465210390108;64,35828772813021
Average price at node 4946;78,87450263795101;79,34501764937289;79,14498128636234;34,98755829319828
Average price at node 4947;82,94782973177236;83,08787227796391;83,02606263623915;55,34165583137503
Average price at node 4948;84,43849702291168;84,46598088402867;84,44574199422938;69,6980264813421
Average price at node 4949;83,87049177785006;83,94255737716153;83,90465802517457;60,59555514351451
Average price at node 5622;-0,5756278782410584;-0,5673571837993845;-0,573121695836182;3,3919765871776075
Average price at node 5678;2,037975084973283;2,0600398360679884;2,055559157407114;-10,456276037929378
Average price at node 5679;18,198182240253498;18,25218562211509;18,28258743737705;9,368755975266781
Average price at node 5685;-2,4336637459146098;-2,4351993810427994;-2,4418765827628266;6,644146488925819
Average price at node 5687;-3,805455518926101;-3,814231187716409;-3,8215822301413156;9,306805430270915
Average price at node 5689;32,53201088969998;32,772182842813685;32,7825168180157;14,903923365897
Average price at node 5691;10,906026281094968;10,995457114155826;10,995273400857526;0,008411297960770744
Average price at node 5693;2,177808350005774;2,2038235506022312;2,199402322115271;-2,893961033784598
Average price at node 5695;2,037975084973283;2,0600398360679884;2,055559157407114;-1,1826826214889827
Average price at node 5696;2,7869391709355047;2,812054171419297;2,8079439885510857;-2,3885715355797825
Average price at node 5699;19,94370704293968;20,042661230829427;20,052876311131037;15,127422610444944
Average price at node 5701;37,121519687445534;37,38777399700434;37,40060374404282;22,1830833423424
Average price at node 5703;32,680101494563495;32,90364629635551;32,914363923711285;17,979371599322413
Average price at node 5704;21,296800509251437;21,410881360401962;21,41618565061607;14,902802345070027
Average price at node 5706;15,284840579289854;15,341109299681385;15,343554597936562;13,571832257487094
Average price at node 5709;12,909352938002613;12,942778525084144;12,94409415844732;9,305999220802518
Average price at node 5711;10,80047600064212;10,813748246648416;10,813730083812542;8,613264798936518
Average price at node 5783;13,277599401754237;13,610599568182081;13,627205761870627;9,374005944939347
Average price at node 5786;7,521973505149808;7,815432898360027;7,835849834270612;3,5119600668327067
Average price at node 5787;9,018742284394023;9,286109003144094;9,315158658077232;6,659887962870776
Average price at node 5789;14,466177137031098;14,638580527962104;14,699048645872692;4,1383054343518015
Average price at node 5792;10,093165848519837;10,469594639261757;10,488450313852995;5,744710749741183
Average price at node 5793;16,574989096217166;16,86302016661458;16,877297087287236;10,513841982481603
Average price at node 5796;15,308575382188389;15,414158277984392;15,511212056255928;1,4445956298535698
Average price at node 5833;22,46780983498984;22,60144796578436;22,62314340201002;3,3330901575577143
Average price at node 5853;23,099738709156288;23,298786638613006;23,30845448222257;1,6584133995730408
Average price at node 5856;22,488308056149293;22,622336397839533;22,643912574224867;7,620658500430099
Average price at node 5858;22,476534221229468;22,61033843231664;22,63198310955684;7,098273288452081
Average price at node 5860;22,480770201954595;22,614655050567347;22,636275082625847;1,1181069160812007
Average price at node 5861;22,469389404903392;22,603057604911516;22,624743851107752;3,057076390890559
Average price at node 5863;26,831190554645246;27,01263301871606;27,014115173122477;7,607634673938424
Average price at node 5864;22,4613697495529;22,59488528475792;22,616618189774403;7,464309582219516
Average price at node 5865;24,733453675224137;24,910221349083898;24,918735137959633;6,97191348550977
Average price at node 5867;16,574989096217166;16,863020166614575;16,877297087287232;10,513841982481601
Average price at node 5870;26,884729244332757;27,12296568550097;27,107678152616575;11,857242413076499
Average price at node 5871;26,923087199588963;27,202013856469165;27,17471163068683;14,90188665943227
Average price at node 5873;26,831190554645246;27,01263301871606;27,014115173122477;7,607634673938423
Average price at node 5875;26,92308719958901;27,202013856469303;27,17471163068681;14,901886659432263
Average price at node 5878;22,4613697495529;22,59488528475792;22,616618189774403;7,464309582219516
Average price at node 5879;22,189061991316624;22,317393786263228;22,340710993620593;5,7012668921393255
Average price at node 5880;23,76110188461102;23,906232978103855;23,923096189689;7,649694132495765
Average price at node 5882;23,070969032950092;23,193645862835652;23,216435130154736;9,496194496974143
Average price at node 5883;21,369391068206607;21,432442293966407;21,468285127522133;10,328788928429278
Average price at node 5886;31,36376641023381;31,40725157166045;31,47822297007532;14,903119610904199
Average price at node 5887;37,943851363494595;37,97445464275179;38,06855394392686;14,904464377587615
Average price at node 7023;63,797171763221286;63,76947956870013;63,922913722799706;18,269595799079113
Average price at node 7074;22,476708792454843;22,610516326737415;22,632159988312097;7,6925607253717265
Average price at node 7208;82,2911754632027;82,28318677732268;82,38702024183296;14,904243514622195
Average price at node 7315;79,26719307131361;79,23661987109443;79,45872163968518;31,929436238583687
Average price at node 7316;22,460993139572512;22,527631051151427;22,55719406005406;38,522810467410515
Average price at node 7317;22,94168474779053;23,014624565071326;23,04552568702293;18,87285586349925
Average price at node 7318;22,996625140265255;23,140329973547342;23,15894873163693;6,042886989470067
Average price at node 7319;89,21894476114242;89,15484527985343;89,13884606412897;30,17291129927827
Average price at node 7320;15,308575382188389;15,414158277984392;15,511212056255928;1,4445956298535734
Average price at node 7321;26,923087199588963;27,202013856469165;27,17471163068683;-1,3611407757074365
Average price at node 7322;82,91025744889711;82,91818779143807;83,01779471048404;27,145023639545382
Average price at node 7326;84,61397287964238;84,64643404963546;84,74065927482559;28,20771681839449
Average price at node 7327;86,40231031693757;86,36275359550052;86,56286466425257;43,06165709599668
Average price at node 7328;60,88843079160008;60,86903762606999;61,02617068144036;20,541354113277695
Average price at node 7329;15,27996167575395;15,388558485063058;15,483916659526711;5,017635806553829
Average price at node 7330;11,748619781970218;11,968397450328483;12,013191865393823;5,120474858901224
Average price at node 7362;82,2161872697824;82,1489451817087;82,32035089272502;43,263964742431654
Average price at node 7363;81,34188948670736;81,26349461063658;81,42603967075;42,95038596773384
Average price at node 7372;83,29784418608885;83,30863177358857;83,41057956222129;28,209379495584972
Average price at node 7373;30,759659282158125;31,038555261409417;31,03109936699374;14,90288991839365
Average price at node 7374;22,510922892001048;22,645381737162054;22,666826339119947;5,783085720236433
Average price at node 7375;22,492600738278373;22,626710796880815;22,6482619981924;0,9400766184024988
Average price at node 7420;80,58414856360474;80,54564798600272;80,65936068157434;42,03913944930668
Average price at node 7424;15,642701308075218;15,80707075987509;15,86673224367385;5,496985547183684
Average price at node 7459;74,71115113156644;74,68557041203401;74,89754788536266;44,26313747919033
Average price at node 7460;21,877314554476005;22,093033643333147;22,103565006229584;-1,8306211236900085
Average price at node 7468;166,40958632017382;168,8190952592785;168,92730824125627;36,55371105583557
Average price at node 7474;8,458072591271966;8,473695261443028;8,472484172936339;5,996472864145871
Average price at node 7476;2,91406186940382;2,935247533856009;2,9312130236095206;-0,1969618300421588
Average price at node 7623;79,99426352324114;80,37459235541091;80,21184365589018;40,88097627616637
Average price at node 7630;38,93657225292579;39,17632701471319;39,19789190789715;89,12079282542744
Average price at node 7636;26,847525646715866;27,04629641766825;27,042662003337373;9,764337310753417
Average price at node 7677;82,69967251620706;82,70055582503876;82,80552633437007;206,17643947566776
Average price at node 7703;122,81762543578999;123,91643358503063;123,9965087555242;21,3154149442836
Average price at node 7713;82,93636456162342;82,94112973134663;83,04456733341895;33,85905934442111
Average price at node 7761;52,45902312852714;52,38345709422938;52,49229650077649;14,904513920661666
Average price at node 7808;82,83214651798673;82,83508323007929;82,93811580651125;38,83462217698065
Average price at node 7810;80,80959086115476;80,74915819368736;80,88128321473044;58,090880436685644
Average price at node 7812;34,5079434946373;34,653249304496335;34,685875103035166;14,90441938208022
Average price at node 7871;63,29159724779927;63,27455213962926;63,43886633597783;22,443082309706345
Average price at node 7888;61,099594876575225;60,95635569562557;61,07438903645514;28,206788621468633
Average price at node 7889;81,89810092330812;81,87339418270496;82,08101228144848;-10,038471026772337
Average price at node 7895;70,84455022871002;70,62498834459508;70,75339073063473;28,206432746315475
Average price at node 7897;70,20991062351148;69,99531925064622;70,12304635326787;28,206427244236362
Average price at node 7898;82,60367490352637;82,61047639586063;82,71034365786028;29,257390763144315
Average price at node 7900;90,12970046470423;90,19283651567223;90,22833328434767;14,903924082332265
Average price at node 7901;85,48648081332874;85,53332991429424;85,62261448945225;28,20832000193093
Average price at node 7902;49,307898138103944;49,31253884740453;49,34487914558128;33,632026357698074
Average price at node 7903;28,94904498094282;28,91415307881115;28,958478361470366;21,826122323986397
Average price at node 7914;90,09547329343714;90,15098081834844;90,18351377611121;38,33826228020158
Average price at node 7949;91,146632454939;91,40490931139688;91,51661522893897;49,41166026508311
Average price at node 8028;81,01237762287083;80,98750286419057;81,19252524263607;-8,325283985897046
Average price at node 8038;5,026452785728691;5,045518826107885;5,0425601020990705;2,1628740081622784
Average price at node 8039;4,524826873979502;4,547373548165683;4,544150797581859;-0,0026143130735043485
Average price at node 8040;2,2168151020599614;2,238700400761408;2,234310800710862;-0,9758839021522157
Average price at node 8041;38,25951730503964;38,536714812463735;38,55008573510481;47,64783665032039
Average price at node 8042;1,8758509087122164;1,8832846970986366;1,8856813861800177;9,32280096853659
Average price at node 8099;27,93945848475828;28,1177507005026;28,129028186733596;14,904555906947992
Average price at node 8100;23,7142336639788;23,85198552634107;23,86238763799807;14,49344572653296
Average price at node 8101;53,9737375833595;53,966554894388025;54,12725749144363;14,903726198623339
Average price at node 8102;83,37321551629124;83,48431145959317;83,43095075634152;59,97692769165243
Average price at node 8115;23,500904388983745;23,6542088482919;23,669893680446418;6,312625063225038
Average price at node 8116;26,92308719958896;27,20201385646916;27,17471163068682;14,901886659432266
Average price at node 8121;31,306282391875005;31,355071231443272;31,4009551675678;22,98159474732221
Average price at node 8128;89,82728487435861;89,82301876717271;89,83232866168792;34,554317042428536
Average price at node 8151;63,45110458260595;63,28944832627867;63,40998377302579;28,206368648010635
Average price at node 8168;59,125510995454654;59,11102537053643;59,26165462848454;24,091852620242577
Average price at node 8175;91,61656459110242;91,78053646164936;91,8420104520401;30,975488881436473
Average price at node 8181;66,58574352228351;66,56607087584753;66,72957922459992;20,984847969022464
Average price at node 8225;13,715950254545533;13,691592641189468;13,716332801829722;14,969518993628943
Average price at node 8291;21,711952002372815;21,775565394932887;21,803088482965176;10,977553663875193
Average price at node 8297;4,066051332481824;4,107805007552049;4,10429470694866;-5,631186976207364
Average price at node 8309;14,220964022746807;14,232333509110525;14,23974055696763;17,77596060768607
Average price at node 8312;59,535587230044314;59,40459739114221;59,52096656159757;45,81730474047077
Average price at node 8331;18,304755730516224;18,344863174406484;18,363258729124787;16,845512325382696
Average price at node 8351;68,09629616663032;68,1116381675262;68,0647938428583;38,680023854757295
Average price at node 8357;84,75589888439474;84,73062708860427;84,9440066167191;-1,543273267587472
Average price at node 8391;82,94133390912332;82,94627080204602;83,05049344416672;14,9036570880395
Average price at node 8414;63,447751138066515;63,43323888930551;63,62655011612648;32,60224460803958
Average price at node 8443;90,17080853641023;90,2431067233229;90,28216313619366;31,780685738458
Average price at node 8480;37,999894711349434;38,10021482446455;38,158946279254884;9,587353595795216
Average price at node 8490;90,18728035591192;90,26324976950265;90,30373251579753;29,382630449568435
Average price at node 8496;33,089242610732114;33,23516499090013;33,258770288071815;29,857428692827785
Average price at node 8513;70,98651750536546;70,72805865049806;70,85133063051339;25,73008238885979
Average price at node 8581;61,278561672321196;61,243626302269;61,38796154463077;15,817207226924362
Average price at node 8588;18,251714919784888;18,33447305379335;18,343687973922275;12,737915092682371
Average price at node 8593;88,1279630279277;88,21833803089125;88,29236633046371;28,20770818316774
Average price at node 8596;82,25631059306579;82,1974097905922;82,3613063047721;45,72220065699008
Average price at node 8599;81,66254876112168;81,72834108306186;81,87777301730573;28,713507196922787
Average price at node 8610;16,574989096217163;16,863020166614575;16,877297087287232;10,513841982481601
Average price at node 8653;82,71194605572408;82,6829059374262;82,85949324544875;41,71579608788889
Average price at node 8685;85,7404171770416;85,35487327183328;85,40917753963424;25,154194982297426
Average price at node 8707;15,04908028116757;15,181996084475736;15,263672586041546;6,786253864460982
Average price at node 8725;73,71575682548446;73,53517859097408;73,67522826235967;32,2351328357722
Average price at node 8728;23,870582860293833;23,942304943530203;23,97597745398652;20,749537893452242
Average price at node 8737;23,965196728745187;24,145654815171266;24,151822363530034;3,3494207541245764
Average price at node 8745;10,154611533584559;10,168838266289006;10,168490300222231;7,726553311630979
Average price at node 8752;16,63340735907674;16,576536337855313;16,61133208502926;21,529538665858883
Average price at node 8791;81,5795549946696;81,55683505501024;81,66761834921971;42,811208505054374
Average price at node 8806;14,833513907425276;14,807046054107857;14,834039707762736;15,849482393532
Average price at node 8807;27,092446337183514;27,051469664463113;27,098387409973267;24,182458700167828
Average price at node 8828;30,687453833821106;30,77743091059809;30,81450503592654;24,113816815971433
Average price at node 8832;26,536168431982162;26,66518857160484;26,70207785456827;31,28090079465679
Average price at node 8834;10,917330823811639;10,92582499507199;10,925813370947601;9,136660893826631
Average price at node 8847;84,45449181877132;84,48433457586779;84,57956685996733;28,208597783784853
Average price at node 8848;48,84991387538813;48,705228251461016;48,74429487164438;14,903086360581332
Average price at node 8863;52,76590900586734;52,916597375977574;52,966809959229074;14,946614571425542
